#,state,discom,application_status,vendor_selected,feasibility_approved,feasibility_rejected,feasibility_pending,residential_installation,rwa_installation,no_of_houses,upto_10_kw,above_10_kw,installation,inspection_approved,inspection_rejected,inspection_pending,total_redeem,total_redeem_amt,total_released,total_released_amt,applications_submitted_for_loan,applications_where_loan_sanction_is_pending,applications_in_which_loan_is_sanctioned,applications_where_loan_is_disbursed,applications_where_loan_is_rejected
22.0,HARYANA,Uttar Haryana Bijli Vitran Nigam Limited,57646.0,47056.0,57527.0,73.0,15.0,30283.0,10.0,6606.0,30195.0,98.0,30293.0,29437.0,36.0,593.0,28818.0,2134725606.0,27182.0,2015307666.0,19881.0,2766.0,11834.0,9889.0,5281.0
23.0,HIMACHAL PRADESH,HPSEB Limited,11880.0,10777.0,11815.0,26.0,7.0,6864.0,3.0,4.0,6860.0,7.0,6867.0,6412.0,3.0,359.0,6326.0,541450734.0,6034.0,516426504.0,5101.0,452.0,3676.0,2856.0,973.0
24.0,JAMMU and KASHMIR,Jammu & Kashmir Energy Development Agency (JAKEDA),49.0,15.0,5.0,0.0,36.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
25.0,JAMMU and KASHMIR,Jammu Power Distribution Company Ltd (JPDCL),31387.0,20574.0,31319.0,7.0,23.0,9304.0,1.0,9.0,9288.0,17.0,9305.0,8951.0,3.0,255.0,8761.0,748150953.0,8255.0,705006456.0,6090.0,1761.0,3194.0,2588.0,1135.0
26.0,JAMMU and KASHMIR,Kashmir Power Distribution Company Ltd (KPDCL),66411.0,38112.0,66290.0,7.0,1.0,12994.0,2.0,2.0,12967.0,29.0,12996.0,11854.0,9.0,953.0,11430.0,980435940.0,10298.0,883310340.0,25639.0,8862.0,12353.0,9311.0,4424.0
27.0,JHARKHAND,Jharkhand Bijli Vitran Nigam Limited,8435.0,5335.0,8297.0,4.0,98.0,1641.0,1.0,3.0,1622.0,20.0,1642.0,1553.0,2.0,67.0,1521.0,118083960.0,1420.0,110207310.0,2884.0,443.0,1182.0,985.0,1259.0
28.0,JHARKHAND,Tata Steel Limited,81.0,39.0,61.0,18.0,0.0,19.0,0.0,0.0,18.0,1.0,19.0,17.0,0.0,1.0,17.0,1310880.0,17.0,1310880.0,13.0,2.0,5.0,4.0,6.0
29.0,JHARKHAND,TATA STEEL UTILITIES AND INFRASTRUCTURE SERVICES LIMITED,62.0,36.0,55.0,1.0,1.0,12.0,0.0,0.0,12.0,0.0,12.0,12.0,0.0,0.0,12.0,936000.0,12.0,936000.0,11.0,0.0,7.0,6.0,4.0
30.0,KARNATAKA,Bangalore Electricity Supply Company Ltd. (BESCOM),52755.0,9059.0,49343.0,14.0,2520.0,6537.0,135.0,7873.0,6530.0,142.0,6672.0,6559.0,7.0,56.0,6384.0,559343196.0,6227.0,544635336.0,1495.0,194.0,897.0,788.0,404.0
31.0,KARNATAKA,"Chamundeshwari Electricity Supply Company Ltd. (CHESCOM),",23364.0,2376.0,21962.0,1004.0,82.0,1787.0,3.0,824.0,1784.0,6.0,1790.0,1726.0,0.0,59.0,1680.0,127104990.0,1618.0,122313240.0,893.0,102.0,603.0,549.0,188.0
32.0,KARNATAKA,Gulbarga Electricity Supply Company Ltd. (GESCOM) ,7576.0,1621.0,7433.0,43.0,30.0,906.0,3.0,5.0,899.0,10.0,909.0,886.0,3.0,6.0,858.0,65637150.0,822.0,62876040.0,688.0,84.0,426.0,372.0,178.0
33.0,KARNATAKA,HRECS Hukeri,65.0,17.0,65.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,1.0,78000.0,1.0,78000.0,11.0,2.0,6.0,5.0,3.0
34.0,KARNATAKA,Hubli Electricity Supply Company Ltd. (HESCOM) ,39478.0,4543.0,38735.0,26.0,14.0,2735.0,1.0,85.0,2717.0,19.0,2736.0,2674.0,3.0,34.0,2624.0,196683810.0,2543.0,190515750.0,1794.0,164.0,1216.0,1088.0,414.0
35.0,KARNATAKA,Mangalore Electricity Supply Company Limited,39244.0,5357.0,39016.0,33.0,24.0,3904.0,7.0,357.0,3880.0,31.0,3911.0,3848.0,2.0,37.0,3779.0,290369808.0,3659.0,281060478.0,2096.0,184.0,1568.0,1427.0,344.0
36.0,KERALA,Kerala State Electricity Board,258758.0,240536.0,258516.0,3.0,214.0,191309.0,86.0,4905.0,190779.0,616.0,191395.0,184023.0,58.0,6471.0,181910.0,14195943888.0,177831.0,13877425548.0,114420.0,6703.0,89172.0,81621.0,18545.0
37.0,KERALA,Thrissur Corporation,798.0,673.0,797.0,0.0,0.0,587.0,7.0,182.0,585.0,9.0,594.0,586.0,1.0,6.0,582.0,46726140.0,570.0,45127230.0,137.0,5.0,106.0,101.0,26.0
38.0,LADAKH,Ladakh Power Development Department,1833.0,1552.0,1830.0,0.0,1.0,1369.0,0.0,0.0,1369.0,0.0,1369.0,1316.0,0.0,37.0,1300.0,111523764.0,1275.0,109378764.0,47.0,7.0,35.0,26.0,5.0
39.0,LAKSHADWEEP,Electricity Deptt. of Lakshadweep,1234.0,1017.0,1234.0,0.0,0.0,819.0,0.0,0.0,819.0,0.0,819.0,785.0,0.0,32.0,779.0,66838200.0,775.0,66495000.0,415.0,60.0,314.0,273.0,41.0
40.0,MADHYA PRADESH,M.P.Madhya Kshetra Vidyut Vitran Co.,45236.0,43832.0,45186.0,10.0,10.0,33487.0,30.0,1956.0,33395.0,122.0,33517.0,32664.0,8.0,669.0,32264.0,2515255290.0,31335.0,2442477420.0,20070.0,1831.0,14751.0,13240.0,3488.0
41.0,MADHYA PRADESH,M.P.Paschim Kshetra Vidyut Vitran Co.,75190.0,59013.0,75051.0,9.0,48.0,38792.0,28.0,1316.0,38664.0,156.0,38820.0,38076.0,1.0,487.0,37399.0,2914367622.0,36197.0,2820806682.0,31964.0,2939.0,22808.0,20263.0,6217.0
42.0,MADHYA PRADESH,M.P. Poorv Kshetra Vidyut Vitran Co ,30538.0,28700.0,30490.0,3.0,1.0,21251.0,5.0,290.0,21187.0,69.0,21256.0,20813.0,3.0,298.0,20574.0,1592676480.0,20002.0,1548369060.0,13678.0,1232.0,9726.0,8542.0,2720.0
43.0,MAHARASHTRA,Adani Electricity Mumbai Limited,570.0,389.0,549.0,4.0,1.0,104.0,171.0,12136.0,118.0,157.0,275.0,259.0,1.0,6.0,247.0,99030090.0,215.0,84874110.0,22.0,5.0,6.0,4.0,11.0
44.0,MAHARASHTRA,Brihanmumbai Electric Supply & Transport (BEST),100.0,53.0,80.0,2.0,0.0,10.0,27.0,2097.0,11.0,26.0,37.0,35.0,0.0,0.0,33.0,13736130.0,32.0,13564410.0,1.0,0.0,1.0,0.0,0.0
45.0,MAHARASHTRA,Maharashtra State Electricity Distribution Co. Ltd,637851.0,601948.0,635912.0,85.0,1625.0,435777.0,4576.0,248520.0,437283.0,3070.0,440353.0,423861.0,129.0,14740.0,415762.0,33014330136.0,398760.0,31648911066.0,259540.0,25520.0,176099.0,152692.0,57921.0
46.0,MAHARASHTRA,NIDAR UTILITIES PANVEL LLP,3.0,1.0,2.0,0.0,1.0,0.0,1.0,132.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1885680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,MAHARASHTRA,Tata Power Co. Ltd,273.0,142.0,240.0,1.0,5.0,51.0,46.0,4049.0,50.0,47.0,97.0,86.0,0.0,4.0,85.0,38573970.0,82.0,37805610.0,17.0,1.0,8.0,7.0,8.0
48.0,MANIPUR,Manipur State Power Distribution Company Limited (MSPDCL),1633.0,1442.0,1623.0,0.0,9.0,793.0,0.0,0.0,787.0,6.0,793.0,765.0,1.0,24.0,757.0,64673400.0,739.0,63160680.0,697.0,163.0,413.0,354.0,121.0
49.0,MEGHALAYA,Meghalaya Power Distribution Corporation Ltd.,1955.0,264.0,1925.0,0.0,22.0,38.0,0.0,0.0,37.0,1.0,38.0,32.0,0.0,4.0,31.0,1740024.0,30.0,1705044.0,47.0,25.0,16.0,13.0,6.0
50.0,MIZORAM,"Power & Electricity Department, Government of Mizoram",1033.0,997.0,1027.0,1.0,5.0,859.0,1.0,3.0,856.0,4.0,860.0,812.0,0.0,47.0,802.0,68000790.0,765.0,64839390.0,14.0,2.0,5.0,4.0,7.0
51.0,NAGALAND,"Department of Power, Nagaland",577.0,321.0,572.0,0.0,5.0,156.0,0.0,0.0,156.0,0.0,156.0,149.0,0.0,1.0,145.0,12130074.0,130.0,10892178.0,71.0,15.0,39.0,31.0,17.0
52.0,NCT OF DELHI,BSES Rajdhani Power Limited ,5666.0,4548.0,5591.0,15.0,2.0,2689.0,23.0,2896.0,2640.0,72.0,2712.0,2606.0,1.0,13.0,2560.0,227129880.0,2466.0,214576380.0,1157.0,130.0,612.0,479.0,415.0
53.0,NCT OF DELHI,BSES Yamuna Power Limited ,2873.0,1200.0,2847.0,10.0,1.0,678.0,6.0,765.0,671.0,13.0,684.0,651.0,3.0,3.0,644.0,54073920.0,618.0,52087680.0,231.0,33.0,93.0,65.0,105.0
54.0,NCT OF DELHI,New Delhi Municipal Corporation,12.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,NCT OF DELHI,Tata Power Delhi Distribution Limited  ,13170.0,4938.0,13135.0,17.0,0.0,2711.0,3.0,253.0,2687.0,27.0,2714.0,2398.0,13.0,78.0,2363.0,183750420.0,2238.0,174066030.0,1226.0,159.0,646.0,529.0,421.0
56.0,ODISHA,"TPCODL,  TP Central Odisha Distribution Ltd.",57204.0,42206.0,57103.0,7.0,1.0,13362.0,1.0,216.0,13351.0,12.0,13363.0,12905.0,1.0,209.0,12517.0,950539698.0,11728.0,899264028.0,23499.0,3342.0,12069.0,9281.0,8088.0
57.0,ODISHA,"TPNODL, TP Northern Odisha Distribution Limited",36035.0,27126.0,35961.0,2.0,8.0,7192.0,1.0,2.0,7193.0,0.0,7193.0,5854.0,1.0,1075.0,5389.0,392867160.0,4632.0,353819280.0,16095.0,2452.0,7130.0,5497.0,6513.0
58.0,ODISHA,"TPSODL, TP Southern Odisha Distribution Limited",43686.0,26200.0,43522.0,33.0,106.0,3902.0,0.0,0.0,3902.0,0.0,3902.0,3666.0,1.0,44.0,3421.0,251468610.0,3077.0,233152110.0,12146.0,1238.0,4925.0,4022.0,5983.0
59.0,ODISHA,"TPWODL, TP Western Odisha Distribution Limited",42344.0,32117.0,42279.0,3.0,22.0,11782.0,2.0,135.0,11775.0,9.0,11784.0,10200.0,5.0,1409.0,9735.0,731038800.0,8917.0,687763290.0,19827.0,2848.0,9187.0,7404.0,7792.0
60.0,PUDUCHERRY,"Electricity Department, Puducherry",3420.0,3300.0,3412.0,1.0,1.0,2471.0,0.0,0.0,2467.0,4.0,2471.0,2364.0,3.0,90.0,2327.0,179202390.0,2258.0,173879040.0,1528.0,93.0,1101.0,973.0,334.0
61.0,PUNJAB,Punjab State Power Corporation Ltd.,19833.0,16218.0,19687.0,39.0,56.0,11273.0,5.0,115.0,11102.0,176.0,11278.0,10717.0,21.0,434.0,10563.0,821903580.0,10336.0,804476760.0,6518.0,375.0,4547.0,3655.0,1596.0
62.0,RAJASTHAN,Ajmer Vidyut Vitran Nigam Ltd.,92560.0,76418.0,92120.0,39.0,298.0,46202.0,15.0,1301.0,46081.0,136.0,46217.0,44686.0,33.0,855.0,43844.0,3419517780.0,42060.0,3281243340.0,43223.0,4162.0,27853.0,24713.0,11208.0
63.0,RAJASTHAN,Bikaner Electricity Supply Limited,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0
64.0,RAJASTHAN,Jaipur Vidyut Vitran Nigam Ltd.,96087.0,73708.0,95840.0,45.0,88.0,46005.0,35.0,2836.0,45602.0,438.0,46040.0,44286.0,33.0,1136.0,43307.0,3377338920.0,40898.0,3189866130.0,40459.0,3646.0,25028.0,21874.0,11785.0
65.0,RAJASTHAN,Jodhpur Vidyut Vitran Nigam Ltd.,90902.0,77851.0,90500.0,126.0,65.0,44814.0,6.0,200.0,44604.0,216.0,44820.0,43298.0,22.0,1080.0,42474.0,3296576334.0,40657.0,3156625524.0,50254.0,4419.0,32686.0,29048.0,13149.0
66.0,SIKKIM,"Energy & Power Department, Government of Sikkim",263.0,116.0,250.0,0.0,1.0,27.0,0.0,0.0,27.0,0.0,27.0,20.0,0.0,6.0,19.0,1565586.0,19.0,1565586.0,28.0,9.0,12.0,9.0,7.0
67.0,TAMIL NADU,Tamil Nadu Generation and Distribution Company Limited,69405.0,66115.0,69101.0,1.0,272.0,54839.0,308.0,9650.0,55051.0,96.0,55147.0,53169.0,19.0,1585.0,52613.0,3983998410.0,51378.0,3889278060.0,19344.0,1121.0,13513.0,11894.0,4710.0
68.0,TELANGANA,Co-operative Electric Supply Society(CESS),253.0,233.0,247.0,1.0,0.0,115.0,0.0,0.0,115.0,0.0,115.0,106.0,0.0,8.0,98.0,7642200.0,92.0,7174200.0,156.0,18.0,79.0,69.0,59.0
69.0,TELANGANA,Northern Power Distribution Company of Telangana Limited,43768.0,20488.0,43764.0,0.0,1.0,11663.0,13.0,490.0,11630.0,46.0,11676.0,10888.0,11.0,553.0,10615.0,826715700.0,10218.0,795774810.0,13724.0,1767.0,8155.0,7261.0,3802.0
70.0,TELANGANA,Southern Power Distribution Company of Telangana Limited,30898.0,23641.0,30846.0,4.0,7.0,16257.0,167.0,11258.0,16219.0,205.0,16424.0,15242.0,24.0,848.0,14988.0,1205717370.0,14703.0,1182759930.0,9756.0,1300.0,6161.0,5383.0,2295.0
71.0,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Dadra Nagar Haveli Daman & Diu Power Distribution Corporation Ltd (A subsidiary of Torrent Power),2044.0,1013.0,2041.0,0.0,0.0,559.0,0.0,0.0,554.0,5.0,559.0,511.0,0.0,35.0,494.0,38398860.0,485.0,37744860.0,90.0,12.0,51.0,47.0,27.0
72.0,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,Electricity Deptt. of Daman & Diu,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,TRIPURA,Tripura State Electricity Corporation Limited,8380.0,4319.0,8364.0,2.0,8.0,2209.0,1.0,12.0,2204.0,6.0,2210.0,2121.0,0.0,54.0,2027.0,170624916.0,1921.0,161611263.0,2683.0,302.0,1785.0,1346.0,596.0
74.0,UTTARAKHAND,Uttarakhand Power Corporation Ltd,102593.0,100200.0,102534.0,10.0,22.0,64863.0,6.0,417.0,64524.0,345.0,64869.0,62421.0,18.0,1826.0,61500.0,5274424036.0,58250.0,4995501634.0,54760.0,3784.0,36825.0,33045.0,14151.0
75.0,UTTAR PRADESH,Dakshinanchal Vidyut Vitran Nigam Ltd.,174259.0,80664.0,174170.0,7.0,39.0,50352.0,6.0,336.0,50330.0,28.0,50358.0,48566.0,12.0,1294.0,47282.0,3609538416.0,45350.0,3461373756.0,45260.0,5354.0,28171.0,23945.0,11735.0
76.0,UTTAR PRADESH,Kanpur Electric Supply Company Ltd.,27304.0,26674.0,27297.0,0.0,3.0,20014.0,1.0,1.0,19973.0,42.0,20015.0,18593.0,9.0,1123.0,18130.0,1399503600.0,17760.0,1370962170.0,14409.0,1403.0,10465.0,9225.0,2541.0
77.0,UTTAR PRADESH,Madhyanchal Vidyut Vitran Nigam Ltd,380470.0,234769.0,380274.0,16.0,90.0,157056.0,40.0,3595.0,156884.0,212.0,157096.0,152942.0,26.0,2981.0,148766.0,11474987052.0,141804.0,10933851732.0,147196.0,15126.0,97247.0,85150.0,34823.0
78.0,UTTAR PRADESH,Noida Power Company Limited,1707.0,1466.0,1700.0,2.0,0.0,1049.0,0.0,0.0,1008.0,41.0,1049.0,1036.0,0.0,2.0,1024.0,78837570.0,1007.0,77511570.0,463.0,40.0,224.0,179.0,199.0
79.0,UTTAR PRADESH,Pashchimanchal Vidyut Vitran Nigam Ltd. ,182640.0,86566.0,182543.0,10.0,22.0,45861.0,4.0,239.0,45771.0,94.0,45865.0,44275.0,28.0,1160.0,42998.0,3260414820.0,40665.0,3082295520.0,55227.0,6864.0,29743.0,24936.0,18620.0
80.0,UTTAR PRADESH,Poorvanchal Vidyut Vitran Nigam Ltd.,329537.0,147175.0,329324.0,21.0,98.0,81697.0,13.0,587.0,81573.0,137.0,81710.0,79644.0,14.0,1268.0,77586.0,5892031884.0,73199.0,5561547714.0,91249.0,9632.0,58813.0,49153.0,22804.0
81.0,UTTAR PRADESH,Torrent Power Limited,15735.0,15228.0,15725.0,2.0,0.0,11142.0,4.0,89.0,11116.0,30.0,11146.0,10165.0,3.0,470.0,10058.0,769663290.0,9863.0,754573080.0,7157.0,628.0,4300.0,3718.0,2229.0
82.0,WEST BENGAL,CESC Limited,1431.0,1151.0,1422.0,4.0,1.0,513.0,1.0,64.0,514.0,0.0,514.0,457.0,1.0,48.0,446.0,33511290.0,399.0,29887500.0,452.0,54.0,209.0,175.0,189.0
83.0,WEST BENGAL,India Power Corporation Limited (IPCL),7.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
84.0,WEST BENGAL,WBSEDCL,11127.0,6075.0,10526.0,4.0,580.0,727.0,0.0,0.0,727.0,0.0,727.0,0.0,0.0,726.0,0.0,0.0,0.0,0.0,1860.0,172.0,760.0,594.0,928.0
