state,district,applications,installations,inspection_approved,subsidy_released,subsidy_redeemed,conversion_rate_pct
PUNJAB,Pathankot,393.0,192.0,183.0,179.0,180.0,48.854961832061065
PUNJAB,Patiala,1983.0,1353.0,1290.0,1274.0,1284.0,68.22995461422087
PUNJAB,Rupnagar,301.0,144.0,135.0,129.0,135.0,47.840531561461795
PUNJAB,Sangrur,1001.0,725.0,697.0,686.0,694.0,72.42757242757243
PUNJAB,S.A.S Nagar,1997.0,1092.0,1027.0,987.0,1003.0,54.68202303455183
PUNJAB,Shahid Bhagat Singh Nagar,212.0,98.0,91.0,91.0,91.0,46.22641509433962
PUNJAB,SRI MUKTSAR SAHIB,791.0,401.0,383.0,352.0,373.0,50.695322376738304
PUNJAB,Tarn Taran,208.0,108.0,108.0,108.0,108.0,51.92307692307693
RAJASTHAN,Ajmer,12277.0,5585.0,5425.0,5097.0,5331.0,45.49156960169422
RAJASTHAN,Alwar,11112.0,3384.0,3270.0,3081.0,3215.0,30.45356371490281
RAJASTHAN,Anoopgarh,689.0,343.0,341.0,333.0,338.0,49.782293178519595
RAJASTHAN,Balotra,1913.0,500.0,473.0,430.0,464.0,26.136957658128594
RAJASTHAN,Banswara,3713.0,922.0,869.0,772.0,840.0,24.83167250201993
RAJASTHAN,Baran,1547.0,742.0,692.0,643.0,688.0,47.963800904977376
RAJASTHAN,Barmer,3697.0,1027.0,959.0,872.0,941.0,27.779280497700835
RAJASTHAN,Beawar,4759.0,1213.0,1167.0,1086.0,1137.0,25.488548014288714
RAJASTHAN,Bharatpur,3731.0,1099.0,1048.0,953.0,1022.0,29.45590994371482
RAJASTHAN,Bhilwara,8352.0,4591.0,4433.0,4205.0,4353.0,54.968869731800766
RAJASTHAN,Bikaner,10432.0,5573.0,5401.0,5050.0,5281.0,53.422162576687114
RAJASTHAN,Bundi,1982.0,768.0,754.0,676.0,732.0,38.74873864783047
RAJASTHAN,CHITTORGARH,6750.0,4458.0,4342.0,4092.0,4245.0,66.04444444444444
RAJASTHAN,Churu,8048.0,3608.0,3445.0,3146.0,3338.0,44.83101391650099
RAJASTHAN,Dausa,3139.0,1288.0,1253.0,1123.0,1207.0,41.03217585218222
RAJASTHAN,Deeg,528.0,161.0,148.0,136.0,144.0,30.492424242424242
RAJASTHAN,DHOLPUR,1510.0,727.0,689.0,605.0,677.0,48.145695364238414
RAJASTHAN,Didwana Kuchaman,4187.0,2011.0,1939.0,1777.0,1879.0,48.0296154764748
RAJASTHAN,Dudu,445.0,8.0,8.0,6.0,6.0,1.7977528089887642
RAJASTHAN,Dungarpur,2178.0,1040.0,1009.0,935.0,997.0,47.750229568411385
