#,state,application_status,vendor_selected,vendor_selection_pending_gt_180_days,feasibility_approved,feasibility_approved_capacity,feasibility_rejected,feasibility_pending,residential_installation,residential_capacity,rwa_installation,rwa_capacity,no_of_houses,upto_10_kw,above_10_kw,installation,loan_disbursed,installed_capacity,inspection_approved,inspection_approved_capacity,inspection_rejected,inspection_pending,total_redeem,total_redeem_amt,total_released,total_released_amt,active_vendors,no_of_vendors,applications_submitted_for_loan,applications_where_loan_sanction_is_pending,applications_in_which_loan_is_sanctioned,applications_where_loan_is_disbursed,applications_where_loan_is_rejected
26.0,PUDUCHERRY,3420,3300,64,3412,11997.2,1,1,2471,8815.57,0,0.0,0,2467,4,2471,930,8816.0,2364,8439.0,3,90,2327,179202390.0,2258,173879040.0,123,1912,1528,93,1101,973,334
27.0,PUNJAB,19833,16218,2004,19687,85760.45,39,56,11273,50911.01,5,36.0,115,11102,176,11278,3248,50947.0,10717,48754.0,21,434,10563,821903580.0,10336,804476760.0,306,437,6518,375,4547,3655,1596
28.0,RAJASTHAN,279551,227978,29283,278462,1072108.8,210,451,137023,540497.84,56,1139.0,4337,136289,790,137079,65297,541637.0,132270,524939.0,88,3073,129625,10093433034.0,123615,9627734994.0,1237,1530,133938,12227,85568,75636,36143
29.0,SIKKIM,263,116,23,250,627.1,0,1,27,100.125,0,0.0,0,27,0,27,7,100.0,20,71.0,0,6,19,1565586.0,19,1565586.0,4,101,28,9,12,9,7
30.0,TAMIL NADU,69405,66115,1804,69101,239612.6,1,272,54839,195819.68,308,1967.0,9650,55051,96,55147,12108,197787.0,53169,190831.0,19,1585,52613,3983998410.0,51378,3889278060.0,1060,1328,19344,1121,13513,11894,4710
31.0,TELANGANA,74919,44362,29230,74857,243332.53,5,8,28035,106934.04,180,3965.0,11748,27964,251,28215,12365,110899.0,26236,103103.0,35,1409,25701,2040075270.0,25013,1985708940.0,441,643,23636,3085,14395,12713,6156
32.0,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2045,1013,921,2041,6829.9,0,0,559,2161.83,0,0.0,0,554,5,559,43,2162.0,511,2076.0,0,35,494,38398860.0,485,37744860.0,54,2873,90,12,51,47,27
33.0,TRIPURA,8380,4319,3204,8364,22444.84,2,8,2209,7515.46,1,10.235,12,2204,6,2210,1393,7526.0,2121,7242.0,0,54,2027,170624916.0,1921,161611263.0,40,151,2683,302,1785,1346,596
34.0,UTTARAKHAND,102593,100200,1514,102534,338251.88,10,22,64863,235182.45,6,74.0,417,64524,345,64869,28843,235256.8,62421,226790.27,18,1826,61500,5274424036.0,58250,4995501634.0,598,769,54760,3784,36825,33045,14151
35.0,UTTAR PRADESH,1111651,592541,498477,1111032,2473589.61,58,252,367170,1256711.18,68,1104.0,4847,366654,584,367238,189708,1257815.0,355220,1218689.0,92,8298,345843,26484898632.0,329647,25242037542.0,4094,4914,360961,39047,228963,196306,92951
36.0,WEST BENGAL,12565,7230,3440,11954,29746.88,8,582,1240,3900.74,1,4.64,64,1241,0,1241,557,3905.38,457,1543.07,1,774,446,33511290.0,399,29887500.0,69,228,2313,226,969,769,1118
