#,state,district,application_status,vendor_selected,vendor_selection_pending_gt_180_days,feasibility_approved,feasibility_rejected,feasibility_pending,residential_installation,rwa_installation,no_of_houses,upto_10_kw,above_10_kw,installation,installation_against_loan,inspection_approved,inspection_rejected,inspection_pending,total_redeem,total_redeem_amt,total_released,total_released_amt,applications_submitted_for_loan,applications_where_loan_sanction_is_pending,applications_in_which_loan_is_sanctioned,applications_where_loan_is_disbursed,applications_where_loan_is_rejected,active_vendor
21.0,ANDHRA PRADESH,Parvathipuram Manyam,9607.0,2714.0,582.0,9602.0,0.0,5.0,1462.0,0.0,0.0,1462.0,0.0,1462.0,1156.0,1415.0,0.0,47.0,1298.0,100382700.0,1177.0,90971340.0,2132.0,195.0,1351.0,1172.0,586.0,146.0
22.0,ANDHRA PRADESH,Prakasam,55034.0,9394.0,43691.0,54970.0,0.0,58.0,4517.0,2.0,50.0,4516.0,3.0,4519.0,3192.0,4397.0,3.0,93.0,4253.0,329794770.0,4059.0,314677890.0,5361.0,288.0,3592.0,3253.0,1481.0,489.0
23.0,ANDHRA PRADESH,Srikakulam,12973.0,8637.0,863.0,12954.0,0.0,14.0,4945.0,1.0,1.0,4933.0,13.0,4946.0,3553.0,4850.0,0.0,90.0,4599.0,354863910.0,4304.0,331965870.0,6145.0,470.0,4028.0,3500.0,1647.0,266.0
24.0,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,65855.0,14768.0,46894.0,65813.0,9.0,2.0,4121.0,0.0,0.0,4111.0,10.0,4121.0,2680.0,3898.0,0.0,166.0,3723.0,289185990.0,3551.0,275789700.0,4905.0,523.0,3149.0,2778.0,1233.0,280.0
25.0,ANDHRA PRADESH,Sri Sathya Sai,55406.0,2667.0,50053.0,55325.0,10.0,27.0,868.0,0.0,0.0,867.0,1.0,868.0,664.0,797.0,0.0,54.0,756.0,58637640.0,708.0,54893640.0,1594.0,253.0,837.0,743.0,504.0,58.0
26.0,ANDHRA PRADESH,Tirupati,60893.0,11196.0,44177.0,60839.0,20.0,9.0,3722.0,2.0,16.0,3715.0,9.0,3724.0,1375.0,3392.0,1.0,311.0,3207.0,233610210.0,2958.0,216104760.0,2821.0,334.0,1743.0,1500.0,744.0,146.0
27.0,ANDHRA PRADESH,Visakhapatnam,16221.0,8537.0,5552.0,16195.0,0.0,18.0,5285.0,47.0,1352.0,5283.0,49.0,5332.0,2725.0,5286.0,0.0,41.0,5050.0,395748996.0,4780.0,374770140.0,4682.0,395.0,3184.0,2821.0,1103.0,498.0
28.0,ANDHRA PRADESH,Vizianagaram,17411.0,7565.0,5979.0,17391.0,2.0,16.0,5070.0,0.0,0.0,5063.0,7.0,5070.0,3923.0,4927.0,0.0,134.0,4722.0,365694240.0,4375.0,338705280.0,5962.0,363.0,4400.0,3962.0,1199.0,366.0
29.0,ANDHRA PRADESH,West Godavari,21895.0,7947.0,9175.0,21871.0,7.0,16.0,4963.0,1.0,20.0,4946.0,18.0,4964.0,3244.0,4923.0,2.0,29.0,4740.0,367608048.0,4444.0,344650248.0,5403.0,427.0,3724.0,3202.0,1252.0,225.0
30.0,ANDHRA PRADESH,Y.S.R.,62035.0,8576.0,53026.0,61981.0,25.0,11.0,2092.0,2.0,71.0,2090.0,4.0,2094.0,1329.0,1960.0,2.0,93.0,1884.0,146040510.0,1758.0,136330020.0,2873.0,353.0,1683.0,1468.0,837.0,204.0
31.0,ARUNACHAL PRADESH,Anjaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,ARUNACHAL PRADESH,Bichom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,ARUNACHAL PRADESH,Changlang,4.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
34.0,ARUNACHAL PRADESH,Dibang Valley ,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
